asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.6162,,"(164.89953394083568, 152.48534084815037, 158.06946851043904)","(11.170271629984837, 34.52986443660737, 29.328703189597523)","(2.4279125793947576, 0.8229658617149401, 0.9061608958301101)","(4.74452192423439, -0.40055971521407274, -0.7453695523829809)","(171, 198, 148)",
0.5468,,"(128.38789019957767, 104.73070344034204, 101.31701870423421)","(17.0512247366847, 26.385763593459988, 26.774302836136545)","(1.939963266563417, 1.370948409799833, 1.1686635977717044)","(2.465207109959115, 0.5372372712935327, -0.1249024554478817)","(120, 97, 95)",
0.7104,,"(165.6335678408086, 124.47158763829066, 115.3838757370595)","(12.290818651602473, 16.276779147009, 16.05984925506778)","(2.9484898282099166, 2.2350023637010223, 2.2604442741283544)","(7.750492009534751, 3.7600904049465296, 3.882082634441283)","(162, 122, 112)",
0.8634,,"(106.77385959417734, 96.34102626770618, 92.49517453246517)","(22.220027424029894, 19.72047022873594, 19.126439885257454)","(1.3946938430879452, 1.6683143302892753, 1.6203270472652174)","(0.7275414857597005, 1.389847661730367, 1.1224342141392745)","(103, 102, 96)",1
0.5507,,"(197.57944146604768, 153.59452653966764, 128.85397054066925)","(16.975044623644564, 25.052828021022098, 29.069711413628394)","(3.60341653920099, 2.532864137839912, 2.310450345444036)","(14.307400123578887, 5.627037002105638, 4.300177115496425)","(193, 151, 124)",
0.7024,,"(139.52978142525012, 121.24015309949573, 115.57985230656118)","(15.85978387226908, 20.116736408658248, 22.027384419710923)","(1.7822937352993284, 1.4090503908595224, 1.5076321300066127)","(1.6409714490971306, 0.460808908558906, 1.0436330041828343)","(142, 116, 117)",
0.7555,,"(113.34111135074272, 100.16234367198194, 100.35724930766446)","(18.921708293055687, 22.724867656212485, 24.996556273440714)","(1.6180609891656805, 1.248850778069595, 0.9900303249488781)","(1.2361651651540813, -0.009844694999091796, -0.6612957079329549)","(120, 96, 100)",1
0.7916,,"(144.00957092383305, 117.11412568781088, 135.49962123098248)","(16.442323134728497, 17.948725033871707, 16.699808826070676)","(2.4367040590032794, 2.254135375822926, 2.101800023557537)","(4.856691969113995, 3.9993482829943288, 3.1582817199246964)","(144, 123, 139)",1
0.769,,"(178.53892410849357, 124.51507927132525, 117.77374932347584)","(14.24467214551571, 27.84229285055493, 28.197427490153654)","(1.8161288322328155, 0.7502383553299603, 0.7028770428415108)","(1.6695438130711402, -1.1548943468807495, -1.222805191759578)","(184, 136, 131)",
0.3248,,"(199.87154833091336, 109.21953526006473, 91.36512826752005)","(22.843289406489504, 38.28578695050595, 37.78375488143307)","(2.1071245667682907, 1.2672520121297741, 1.4778935763451067)","(3.3610537946618857, 0.16667407118801814, 0.9428693393667862)","(205, 98, 82)",
0.67,,"(139.66697909726827, 134.7594561449314, 120.16790153602778)","(14.180298955092223, 17.26074775609885, 17.310336622629972)","(2.00218326747607, 1.7539231607102344, 1.7245473621134633)","(2.4956509126757664, 1.7398033513093454, 1.5495836389490503)","(138, 137, 120)",
0.8626,,"(161.20132953133543, 101.51465219379679, 83.67584673998863)","(30.94050050637041, 32.66831893360495, 32.325195837734924)","(1.5563559290929239, 2.0560941248827644, 1.9911302839242733)","(1.224056149617737, 3.1339539027801866, 2.817250236827771)","(255, 85, 71)",
0.7117,,"(102.78503716937848, 68.95609290687571, 51.6731019656072)","(33.370429206105676, 26.504811511781394, 24.524617363965383)","(0.9794172937991127, 1.6739252558262097, 1.8850821813917815)","(-0.27050843434658756, 1.674143986350077, 2.4093999576511083)","(87, 44, 35)",
0.7699,,"(180.76657312345924, 130.6175556819071, 118.17731782695046)","(35.871532739283055, 35.64096594207256, 38.02612692761514)","(0.3586910246310007, 0.7143117485419447, 0.5636412454582573)","(-1.5024487704932914, -0.8621799974394952, -1.198810261774471)","(183, 121, 103)",
0.5298,,"(155.35506938038452, 117.64164966356475, 69.80017127320752)","(28.20063851367021, 37.39225473242676, 30.4871241968982)","(1.004604755935294, 0.39572423562696374, 1.2321519625034936)","(-0.2367635447401839, -1.1592126926293287, 0.4190389201189415)","(127, 76, 41)",
0.4911,,"(203.2392367927023, 133.18624690577417, 105.53676051286311)","(16.40617898704256, 15.746867428564745, 13.918390323664614)","(1.7936941555451857, 1.9026694438369274, 2.0537220794693054)","(1.7603769416103994, 2.2710830476145505, 2.8640254595541466)","(207, 127, 103)",
0.1757,,"(154.59599257141235, 130.56904906436102, 110.09558615155402)","(40.05413411840827, 41.81303599961748, 41.116068215174565)","(0.9763503069398766, 0.28853967073502484, 0.35410986164722474)","(0.8928014078010356, -1.25925579750615, -1.0957226960291104)","(190, 190, 84)",
0.8268,,"(101.45463001006283, 78.16023789648898, 71.98542422102764)","(41.18823648299926, 40.08100566887774, 37.668364108959864)","(1.625640596756801, 2.4415023615331615, 2.7112803988659913)","(1.5482982462160804, 5.186694575965554, 6.822883159374962)","(79, 54, 50)",
0.7026,,"(229.64876407726115, 153.15448488304537, 149.9414674042273)","(13.625268784371583, 17.404527651682844, 18.921051584286673)","(2.161276111606764, 1.7261425218503061, 1.4867405928810071)","(3.704273172486058, 1.8647321056978363, 0.8432768158889452)","(239, 159, 160)",
0.6699,,"(88.22883305846335, 60.51420278342266, 46.1851833748442)","(29.517246235716236, 25.958285795022604, 25.86099060886284)","(1.1921824284223967, 2.207675371684864, 2.6837172986313074)","(-0.006729088365414082, 4.034650677988725, 6.750051694460911)","(67, 41, 27)",
0.3888,,"(181.31751117363, 106.34958512454523, 99.80668698915633)","(22.257374490902553, 19.63051477279282, 18.62536855013858)","(1.6156589517762394, 1.5797454223169132, 1.6165892439629845)","(1.552649928082193, 1.2406947195020113, 1.1669029123391308)","(190, 110, 99)",
0.2394,,"(141.4114507098614, 106.4803315763034, 100.42727430693253)","(12.53947622780752, 12.359339053555853, 11.783511753477852)","(2.615869718867769, 2.5828278926379507, 2.547698426388306)","(5.886165218391749, 5.770494659815334, 5.296124013266713)","(144, 104, 101)",
0.6962,,"(187.63891203123785, 129.80125553065955, 133.25584209552107)","(22.944954986758848, 32.19827491596118, 31.933596143040152)","(1.4290157193846427, 0.8014479196021034, 0.6455853840330804)","(0.7866416707513082, -0.7871801820029738, -1.2354259525148765)","(196, 126, 135)",
0.4785,,"(147.45619992710635, 65.65774370777035, 49.75541406757293)","(20.214949542113946, 23.99828446239555, 20.749728086757635)","(1.5997009284470929, 1.376779510598695, 1.5451242962990588)","(1.2078287739711655, 0.4168498151550577, 0.8165033689300252)","(156, 42, 34)",
0.7287,,"(131.13559701149825, 98.70269968469165, 102.98983104536)","(17.168313997909685, 19.703617553844577, 19.268844678136293)","(2.2224050783375784, 1.6299964227892705, 1.611080173744545)","(3.6274681017835704, 1.4102123531514472, 1.3864565948954457)","(135, 100, 104)",1
0.9114,,"(150.27173543092704, 126.37867510216347, 109.51977205674393)","(7.613126043885529, 10.633239846378167, 13.015798727567924)","(3.2051388223826707, 2.6900188205164044, 2.4463693044200916)","(9.170170311629805, 6.204168983371236, 5.063188395106399)","(146, 122, 111)",
0.8878,,"(120.75123740087292, 88.07521713426831, 79.83401341969875)","(39.965182877287226, 34.03629174705352, 29.705887838110012)","(0.3821584121119609, 0.9548400927494503, 0.9423464577336625)","(-1.1520705652421706, -0.17274960647977533, -0.6151593159856308)","(79, 57, 52)",
0.45,,"(125.60598990609287, 97.41292474730653, 90.17155163082134)","(30.081523816639567, 37.73326760360523, 33.55660338458418)","(1.0090589683612543, 1.1008435892492718, 0.8647489268231113)","(-0.30632604625561743, 0.30997482072279237, -0.5264772769298061)","(109, 70, 66)",
0.8794,,"(200.99821383570816, 132.66344474947982, 124.11241986018285)","(16.170106368457603, 24.695535139491206, 25.753245737001684)","(2.138370427392187, 1.969451802202802, 1.913489112588771)","(3.3909936712349538, 3.0179341741143944, 2.521348010179529)","(195, 128, 116)",
0.6585,,"(156.39754216392794, 70.95370251713211, 68.13651291746282)","(8.501304150690558, 11.825201486288378, 11.16390978418549)","(2.718279342394745, 2.3320528581184856, 2.426092664839887)","(5.856995734312417, 4.064322588541487, 4.383065211173549)","(151, 66, 61)",
0.8551,,"(176.9581659326359, 104.66698884554353, 84.82307112082344)","(11.043769243414694, 13.671461065091933, 14.380803397522879)","(3.406185877617183, 2.833860142111288, 2.477487665082346)","(11.692761424820493, 7.81821778044117, 5.207547627593884)","(177, 100, 81)",
0.8307,,"(207.5334639583598, 136.78569012021762, 121.4249919099384)","(11.998115709624264, 15.395443548828148, 15.76591860367196)","(2.3416077989444464, 2.14567996876047, 1.9066504080799538)","(4.260811846653764, 3.8717907140048338, 2.3945021020467543)","(200, 143, 128)",
,,,,,,,
0.4789,,"(227.23960718821763, 158.38458793872996, 57.1177562667217)","(8.502295485038843, 11.574843107845656, 15.751661586587238)","(3.0446252192919676, 2.541438781992035, 2.3211457301700213)","(8.267415976892956, 5.11086128110137, 4.2241083642953186)","(225, 155, 51)",
0.829,,"(180.78791607514722, 168.60172675881768, 159.95499349600868)","(10.886338077039161, 16.560071028072283, 15.872366099731734)","(2.463207513869995, 1.719817047745996, 2.2047462525554855)","(4.8929871815865225, 1.6809190731099468, 4.036627554672894)","(182, 160, 144)",
0.7953,,"(109.63207669235999, 94.71026822462471, 79.10097997412765)","(26.191896099847146, 30.03523075141224, 28.63310170713518)","(1.2097834232475773, 1.0236834487971762, 0.9467039002581892)","(-0.0007979245560441051, -0.42316321588582806, -0.7545765183437916)","(101, 79, 73)",1
,,,,,,,
0.8615,,"(193.06896508131467, 153.20186715415912, 152.17504689784255)","(11.788771284815981, 14.51905226409109, 16.36935263086463)","(2.6785046640429617, 2.443245499156895, 2.2457142180566625)","(6.288164457580475, 4.970146646827365, 3.9905965835517003)","(190, 150, 153)",
0.4889,,"(166.09105497552082, 99.06371722016047, 83.7880243491818)","(24.860689525225023, 31.163989283387025, 33.179727815567716)","(1.4843749579732934, 1.4997949849910521, 1.4547645882503633)","(1.0849739796351114, 1.6357804957458502, 1.72790739090253)","(159, 91, 79)",
0.8507,,"(211.63999761687592, 123.96243764460087, 135.94975493615493)","(9.638599192610092, 11.160909702839739, 11.020420595486586)","(3.236124745909465, 2.8193023582093835, 2.887857255649303)","(10.228140056183957, 7.016493227755678, 7.539700543004194)","(211, 123, 137)",
0.6314,,"(169.92980017164882, 160.99280552799883, 159.20185612929254)","(29.24677088707654, 29.462274693817662, 23.973374772576236)","(1.7729138550453696, 1.578826784880021, 1.4917296548335575)","(2.5876782079554124, 2.436256273325448, 1.0974094054755925)","(181, 181, 181)",1
0.752,,"(220.22652756118623, 140.97262387437513, 127.92191982330405)","(16.251783264114966, 23.43108271685702, 23.876745404147112)","(1.7437589390835266, 1.4164407784423936, 1.3085660345112078)","(1.7182683172385147, 0.7428021152917759, 0.37000233104791747)","(218, 138, 127)",
0.8588,,"(107.8202629988391, 86.88019587150666, 85.45540556343622)","(20.046617601062252, 20.437351072728614, 18.960344891169058)","(1.4715856119730082, 1.54154564715339, 1.5692668768913245)","(0.6637189341215621, 0.9031206389004311, 0.8266203396422203)","(91, 71, 69)",
0.8495,,"(152.09719345883423, 107.85177192363153, 94.85521156075811)","(12.09898439681741, 13.163557113245746, 12.997424860857672)","(2.685030112517106, 2.4223330799884333, 2.370944344392754)","(5.858145583737542, 4.581842996272561, 4.317391627268076)","(151, 111, 96)",
0.0296,,"(130.92790847591823, 124.04899674570515, 133.19275520317933)","(20.946692032585627, 24.63463256959145, 27.45143243644364)","(1.6945102017593883, 1.4220036369256752, 1.3008970099379882)","(1.5235417390795742, 0.7183633700080683, 0.47056733871355316)","(128, 126, 136)",1
0.8128,,"(156.83297110856074, 118.48426360063604, 115.20946917253605)","(16.037852174877717, 27.14590470022586, 31.08849786235809)","(2.2264497112756376, 1.599794015567362, 1.2836551854543496)","(3.9091616888075125, 1.3945177667619175, 0.3945927532991327)","(153, 106, 103)",
0.3845,,"(156.83435166428535, 103.90805369849113, 102.72676613381918)","(25.653636999038376, 27.391239029970066, 28.00287183148093)","(1.7311693661199847, 1.7946601196016347, 1.6869053235218876)","(1.8346616190357068, 2.0320456870286288, 1.5810960575163886)","(154, 93, 93)",
0.7393,,"(199.78376594118163, 102.67489868735356, 74.36228243389633)","(34.16114978589756, 21.86359245716069, 16.218390115008045)","(1.1647930760412712, 1.4886965642348964, 1.9162306922096037)","(3.727751592584287, 1.1241807288791987, 2.363333618292174)","(255, 95, 70)",
0.5185,,"(187.81900762870828, 153.1938199297241, 138.74463694491305)","(25.698248564285347, 29.721333724919766, 30.386643268435552)","(1.3899323764270999, 1.203881877116173, 1.2179269546644866)","(0.5581185635350652, 0.07108416921961691, 0.12904046670415692)","(187, 149, 133)",
,,,,,,,
0.8927,,"(178.3570585968555, 138.13578468147898, 79.97150779716321)","(9.770122593065425, 14.384443742252024, 18.1047830191618)","(3.638363676533864, 2.464240611303413, 1.7316876449876824)","(12.69486320005816, 5.0390341657791655, 1.4400157465972203)","(177, 136, 78)",
0.5508,,"(177.60971487480583, 108.3458375174032, 91.18676979246811)","(11.934045354097494, 14.037168564478996, 13.334070434694175)","(2.489738934592936, 2.4630083666877036, 2.5855211170262584)","(4.992569268938448, 5.065363412303377, 5.7786630640034655)","(175, 109, 90)",
0.8258,,"(235.89158288338876, 154.74585431162268, 138.1164169215008)","(18.346685528575712, 31.550783378205576, 27.61538765937558)","(2.554457142764699, 1.47349242204557, 1.2329224326207147)","(5.233281316487183, 0.9173770458418034, 0.0876056478192)","(255, 149, 131)",
0.587,,"(189.58192361005058, 137.67184166010702, 114.78973270382994)","(19.044860443162687, 26.061277721507153, 26.946456044976554)","(2.497331392520588, 1.5656776869389022, 1.4659918415893347)","(6.154180574142385, 1.5702777158520105, 1.0509741957440006)","(191, 143, 112)",
0.8072,,"(114.03419592565842, 92.8481787162782, 98.93922770123027)","(27.904488578648245, 33.53753519079434, 33.83958143446402)","(1.6976314555712242, 1.2186586980537915, 0.8775068352962998)","(2.3498342009197897, 0.6438741951645586, -0.3755260317468596)","(127, 83, 93)",1
0.8978,,"(204.87469634843183, 145.89747042966792, 138.0488122881743)","(16.018742371225947, 28.899527213934896, 30.900608689027305)","(1.9273376852361357, 0.9419591044411335, 0.8303457149671831)","(2.412953848414908, -0.5100030691599664, -0.6443205642307892)","(204, 134, 135)",
0.8018,,"(220.52211180208542, 150.52049197259475, 143.2255784962108)","(16.740705225806906, 23.18672109805217, 24.710874326761694)","(1.9555507605911153, 1.8057198519088036, 1.9821905808214717)","(2.6022726262181637, 2.184261880378396, 2.842744219806132)","(220, 148, 141)",
0.5734,,"(90.56092241398073, 67.84636897141536, 63.42533805411222)","(41.96173069545788, 33.335285825958394, 30.364457269853258)","(-0.052413097718608956, 0.5488563574472793, 0.7742947512453774)","(-1.7567107940431508, -1.2309941524374182, -0.8876600289202066)","(42, 39, 41)",1
0.1709,,"(197.09445073614188, 163.69052770714916, 135.90717547809618)","(13.530065039244619, 15.911770446925999, 16.158731742031534)","(2.540651519383053, 2.249589860245674, 2.060080472807898)","(5.530967705594655, 4.092381639445987, 3.0504274168251984)","(202, 164, 138)",
0.7533,,"(108.50589558499314, 83.13864157259832, 70.86272459291968)","(16.99920665934228, 20.22943939469212, 19.898075659960384)","(2.3676409079222585, 2.315569994884953, 2.3584211105090946)","(4.482030280456529, 4.622508822316241, 4.698347766591852)","(104, 75, 64)",
0.1807,,"(169.10463448520568, 118.77468513185522, 114.30097454004681)","(12.822790045977401, 15.148710790242834, 17.79584588009993)","(1.9317825583931474, 1.9054085684308408, 1.7401289873233445)","(2.1618799389420937, 2.462760453876043, 1.935876985009311)","(164, 114, 108)",
0.4651,,"(151.61362731241525, 91.017438066473, 94.55439908353128)","(27.64409755599549, 35.258710743562496, 32.82392828418765)","(1.4561957570989363, 0.7156671127506999, 1.0008340705457617)","(1.0340739329421647, -1.0429028088492893, -0.39380339946442877)","(161, 100, 97)",
0.7653,,"(154.0810405559023, 116.38802726942959, 110.7604698143441)","(16.572651751225536, 22.198066551490133, 23.666728298305458)","(2.0016068507425016, 1.5510167339533474, 1.2869216463365787)","(2.3926303628140513, 0.8362109477572246, -0.006544719063621418)","(165, 121, 99)",
0.4807,,"(117.80254455639806, 72.97226417799538, 64.2643375379339)","(23.929024277892143, 26.48756282768324, 23.44219493727045)","(1.1762818496035405, 0.994112175911093, 1.1892580208969743)","(-0.13251972732401374, -0.6015779050627663, -0.13089152739650567)","(113, 57, 55)",
0.8821,,"(202.46453545387794, 133.12412906966756, 113.90375935967722)","(12.475850613413138, 23.930568036751517, 26.86727738021789)","(2.963968367847849, 2.0752486469888933, 1.6936402148866336)","(8.07914912191095, 3.6702860604565224, 1.7598743862723287)","(200, 121, 96)",
